,comment,sentiment,comment_len
0,به طور مثال از طریق نوار Notification شما می توانید مطلبتان را بر روی فیس بوک و یا توییتر ارسال نمایید,0,21
1,اما در کنار همه این ها حالت فلزی قاب دور بدنه و البته کلید های استیل موجود در قاب بر زیبایی گوشی افزوده اند,1,23
2,همه چیزش عالی ولی زود داغ می کنه دیر سرد می شه,-1,12
3,اما مودهای عکاسی HX۲۰۰v هم بسیار متنوع هستند,1,10
4,دوست عزیز اسلوموشن بودن تصویر دلایل زیادی داره ۱ سرعت کم پردازش کارت گرافیک ۲ مقدار بازدهی فرکانس مانیتور ۳ نرم افزار پخش کننده فیلم,-1,25
5,در لبه جلویی نیز یک کارت خوان با پشتیبانی از کارت های حافظه SD و MMC قرار دارد,0,18
6,کیفیت نمایشگر خیلی خوب است و به دلیل لمسی بودن باعث شده که بیشتر دکمه های فیزیکی از روی بدنه ی دوربین حذف شوند,2,24
7,در قسمت پشتی دوربین نمایشگر ۳ اینچی ۴۶۰۰۰۰ پیکسلی قرار گرفته که کیفیت خیلی خوبی را ارائه می کند,2,19
8,بعد از آپدیت مشکل داغ شدن به نظرم بیش از ۷۰ درصد حل شده است,0,14
9,آندروید ۴٫۰٫۴ ریختم روش که نه داغ میکنه نه هنگ و نه شارژش تا ۱و نیم روز تموم میشه,1,19
10,یک اس دی کارت ۱۶ گیگ گذاشتم روش ولی نمیدونم چرا برنامه ها رو نمیتونم روی ۱۶ گیگ نصب کنم با فایل منیجر هم فقط میتونم عکس و موسیقی کپی کنم روی این حافظه برنامه های نصب شده هم فقط بین دو حافظه یک گیگابایت جابجا میشند,0,47
11,اگر از جمله ی کاربران تازه کار هستید می توانید مود اتوماتیک را انتخاب کنید و مودهای P A S M نیز برای عکاسی خلاقانه تر به کار می روند,1,30
12,به نظر من بهترین گوشیه فقط یه عیب داره اونم بلوتوثشه,1,11
13,من این گوشی رو یک ساله دارم از نظر سیستم عامل قوی عمل میکنه تنها مشکلی که داره اندازه کوچک صفحه نمایششه که بازی کردن باهاش زیاد لذت بخش نیست البته الان دیگه میخوام گوشیمو عوض کنم note ۲ بگیرم,0,40
14,یکی دیگر از قابلیت های کلیدی این مدل سرعت تصویر برداری ۶۰ فریم بر ثانیه آن است به این معنا که می توان فیلمهای ورزشی و مهیج را به صورت کاملا نرم و آهسته و با سرعت ۲ ۱ پخش کرد,1,41
15,بزرگترین اتفاق آیفون ۵ نسخه ی جدید ios بود,0,9
16,به صرفه میشه,1,3
17,مطالبی که عرض کردم به سادگی قابل قضاوت است,0,9
18,به جز دوربین دوم ۲ مگاپیکسلی که در بالای صفحه نمایش قرار دارد هیچ گونه کلید و یا پورت دیگری در قسمت جلویی تبلت وجود ندارد,0,26
19,سلام حدود یکسال هست که دارم بعد از اولین شارژ کیفیتش خیلی اومد پایین,-2,14
20,خدا کنه حداقل با گارانتی این ضعف ایسوس پوشش داده بشه وگرنه با اینکه تبلتی بسیار بسیار فوق العاده است توصیه میکنم برای خریدنش عجله نکنید از همین سایت نحوه پوشش گارانتی رو اطلاع میدم,-1,35
21,ممنون از دیجی کالا از اطلاع رسانی خوبش,0,8
22,خدایی بگم قیمتشم هر چی باشه ارزش داره دیگه محصول اپل و کلاس کاری خودش,1,15
23,شما با داشتن این گوشی هیچوقت احساس پشیمانی نخواهید کرد و از خریدش کاملا راضی خواهید بود چرا که این گوشی در آینده نیز حرفهای بسیاری برای گفتن خواهد داشت,1,27
24,به کدام ورزش علاقه مندید,0,5
25,تا بتونه استفاده کننگان از محصولاتش رو بیشتر نسبت به ضعف های محصولاتش گمراه کنه,-1,15
26,گوشی خوبیه قوی و شکیل و زیبا و بی رقیب البته تو تیپ وگروه خودش عالیه,1,16
27,کیفیت صدا از نرمال پایینتره که البته صداش واسه من مهم نیست چون همیشه گوشیم رو سایلنته در کل با این قیمت نسبت به کاراییش واقعا به صرفه هست راستی در مورد گارانتیش هم باید بگم که شرکت مایکروتل شرکتی که گوشی های سامسونگ رو گارانتی میکنه گارانتی این برند رو برعهده گرفته که از این بابت در مورد تامین قطعاتش یک مقدار خیالم راحت تر شد به هر حال چون برند جدیدی هست بین مردم هنوز جا نیافتاده,0,79
28,سرعت و گرافیک بسیار عالی,2,5
29,وقتی هم بردم گارانتی آواژنگ گفتن که این مشکل وجود داره و باید صبر کنید ببینیم نسخه بعدی Android این مشکل رو حل می کنه یا نه,0,27
30,عالی,2,1
31,بدون دردسر تو جیبم جا میشه,1,6
32,اولین آیتمی که به ذهن بنده خطور کرد تست قلم مخصوص ال جی بود که با اولین تاچ احساس کردم کمی بهتر از گلکسی نوت عمل میکنه ولی متأسفانه با کمی تعامل باز هم همون احساس گلکسی نوت بهم دست داد,0,41
33,حافظه داخلی Stylistic به میزان ۳۲ گیگابایت است که با توجه به قابلیت این دستگاه مبنی بر پشتیبانی از کارت حافظه جانبی می توان با کارت های microSD آن را افزایش داد,1,32
34,به طور کلی و درنهایت میشه گفت که این گوشی در مقایسه با قیمتش امکانات خوبی برای کاربر فراهم کرده و می تونه گزینه مناسبی برای خرید باشه,1,28
35,جهت تشخیص ورژن NTSC J از NTSC J Asia کافی ست به روی جعبه نگاه کنید,0,16
36,مطمئن باشید هرگز از سطوحی که به آن متصل شده است جدا نخواهد شد,1,12
37,اما این مشکلش خیلی بده,-2,5
38,با این حال با توجه به ساختار پلاستیکی آن نباید استحکامی فوق العاده را از آن انتظار داشته باشیم,-1,18
39,من خودم حدودا شش ماهه این دوربین رو دارم حرف نداره فیلم برداریش از دوربینای بزرگ خیلی بهتره اگه میخواین دوربینی در این حد بخرین بهترین گزینه ست بدون شک,2,30
40,پهنای این گوشی کاملا در تضاد با اعتقاد اپل مبنی بر سایز ۳٫۵ الی ۴ اینچ استاندارد صفحه نمایش برای کار با یک دست است,-1,25
41,قابلیت جیوتگ برای ویدیو,1,4
42,فوکوس خودکار ژئوتگینگ و همچنین حالت های مختلف تصویربرداری عکاسی و فیلم برداری با این گوشی را بسیار لذت بخش می کند,0,22
